timestamp;latitude;longitude;weather_id;weather_main;weather_description;weather_icon;base;temp;feels_like;temp_min;temp_max;pressure;humidity;sea_level;grnd_level;visibility;wind_speed;wind_deg;wind_gust;clouds_all;dt;sys_type;sys_id;country;sunrise;sunset;timezone;city_id;city_name;cod
2024-08-12T21:09:40.901486;515.074;-0.1278;801;Clouds;few clouds;02n;stations;17.25;16.96;15.57;17.88;1009;74;1009;1005;10000;3.6;230;;11;1723517399;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:14:40.873018;515.074;-0.1278;801;Clouds;few clouds;02n;stations;17.09;16.81;15.57;17.88;1009;75;1009;1005;10000;3.6;230;;11;1723518060;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:19:40.882824;515.074;-0.1278;801;Clouds;few clouds;02n;stations;17.09;16.81;15.57;17.88;1009;75;1009;1005;10000;3.6;230;;11;1723518060;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:24:40.897620;515.074;-0.1278;801;Clouds;few clouds;02n;stations;17.09;16.81;15.57;17.88;1009;75;1009;1005;10000;3.6;230;;11;1723518060;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:29:40.889696;515.085;-0.1257;801;Clouds;few clouds;02n;stations;16.98;16.69;15.55;17.86;1009;75;1009;1005;10000;4.12;240;;11;1723518429;2;2075535;GB;1723524206;1723577243;3600;2643743;London;200
2024-08-12T21:34:40.877813;515.085;-0.1257;801;Clouds;few clouds;02n;stations;16.98;16.69;15.55;17.86;1009;75;1009;1005;10000;4.12;240;;11;1723518429;2;2075535;GB;1723524206;1723577243;3600;2643743;London;200
2024-08-12T21:39:40.885070;515.074;-0.1278;801;Clouds;few clouds;02n;stations;16.77;16.49;15.01;17.88;1009;76;1009;1005;10000;4.12;240;;11;1723519560;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:44:40.880846;515.074;-0.1278;801;Clouds;few clouds;02n;stations;16.77;16.49;15.01;17.88;1009;76;1009;1005;10000;4.12;240;;11;1723519336;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:49:41.192543;515.074;-0.1278;802;Clouds;scattered clouds;03n;stations;16.77;16.49;15.01;17.88;1009;76;1009;1005;10000;3.6;240;;29;1723520161;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:54:41.895106;515.074;-0.1278;802;Clouds;scattered clouds;03n;stations;16.77;16.49;15.01;17.88;1009;76;1009;1005;10000;3.6;240;;29;1723520161;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:59:41.761955;515.074;-0.1278;802;Clouds;scattered clouds;03n;stations;16.77;16.49;15.01;17.88;1009;76;1009;1005;10000;3.6;240;;29;1723520161;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
